Generation,Population
0,0.5
1,0.8
2,0.512
3,0.7995392
4,0.512884056522752
5,0.7994688034800593
6,0.5130189943751092
7,0.7994576185134749
8,0.5130404310855622
9,0.7994558309027286
10,0.5130438570827405
11,0.7994555449356961
12,0.5130444051432489
13,0.7994554991822682
14,0.5130444928303954
15,0.7994554918617529
16,0.5130445068602741
17,0.7994554906904713
18,0.5130445091050531
19,0.7994554905030663
20,0.5130445094642175
21,0.7994554904730814
22,0.5130445095216841
23,0.7994554904682839
24,0.5130445095308785
25,0.7994554904675163
26,0.5130445095323497
27,0.7994554904673934
28,0.5130445095325852
29,0.7994554904673739
30,0.5130445095326227
31,0.7994554904673707
32,0.5130445095326286
33,0.7994554904673701
34,0.5130445095326298
35,0.7994554904673701
36,0.5130445095326298
37,0.7994554904673701
38,0.5130445095326298
39,0.7994554904673701
40,0.5130445095326298
41,0.7994554904673701
42,0.5130445095326298
43,0.7994554904673701
44,0.5130445095326298
45,0.7994554904673701
46,0.5130445095326298
47,0.7994554904673701
48,0.5130445095326298
49,0.7994554904673701
50,0.5130445095326298
51,0.7994554904673701
52,0.5130445095326298
53,0.7994554904673701
54,0.5130445095326298
55,0.7994554904673701
56,0.5130445095326298
57,0.7994554904673701
58,0.5130445095326298
59,0.7994554904673701
60,0.5130445095326298
61,0.7994554904673701
62,0.5130445095326298
63,0.7994554904673701
64,0.5130445095326298
65,0.7994554904673701
66,0.5130445095326298
67,0.7994554904673701
68,0.5130445095326298
69,0.7994554904673701
70,0.5130445095326298
71,0.7994554904673701
72,0.5130445095326298
73,0.7994554904673701
74,0.5130445095326298
75,0.7994554904673701
76,0.5130445095326298
77,0.7994554904673701
78,0.5130445095326298
79,0.7994554904673701
80,0.5130445095326298
81,0.7994554904673701
82,0.5130445095326298
83,0.7994554904673701
84,0.5130445095326298
85,0.7994554904673701
86,0.5130445095326298
87,0.7994554904673701
88,0.5130445095326298
89,0.7994554904673701
90,0.5130445095326298
91,0.7994554904673701
92,0.5130445095326298
93,0.7994554904673701
94,0.5130445095326298
95,0.7994554904673701
96,0.5130445095326298
97,0.7994554904673701
98,0.5130445095326298
99,0.7994554904673701
100,0.5130445095326298
101,0.7994554904673701
102,0.5130445095326298
103,0.7994554904673701
104,0.5130445095326298
105,0.7994554904673701
106,0.5130445095326298
107,0.7994554904673701
108,0.5130445095326298
109,0.7994554904673701
110,0.5130445095326298
111,0.7994554904673701
112,0.5130445095326298
113,0.7994554904673701
114,0.5130445095326298
115,0.7994554904673701
116,0.5130445095326298
117,0.7994554904673701
118,0.5130445095326298
119,0.7994554904673701
120,0.5130445095326298
121,0.7994554904673701
122,0.5130445095326298
123,0.7994554904673701
124,0.5130445095326298
125,0.7994554904673701
126,0.5130445095326298
127,0.7994554904673701
128,0.5130445095326298
129,0.7994554904673701
130,0.5130445095326298
131,0.7994554904673701
132,0.5130445095326298
133,0.7994554904673701
134,0.5130445095326298
135,0.7994554904673701
136,0.5130445095326298
137,0.7994554904673701
138,0.5130445095326298
139,0.7994554904673701
140,0.5130445095326298
141,0.7994554904673701
142,0.5130445095326298
143,0.7994554904673701
144,0.5130445095326298
145,0.7994554904673701
146,0.5130445095326298
147,0.7994554904673701
148,0.5130445095326298
149,0.7994554904673701
150,0.5130445095326298
151,0.7994554904673701
152,0.5130445095326298
153,0.7994554904673701
154,0.5130445095326298
155,0.7994554904673701
156,0.5130445095326298
157,0.7994554904673701
158,0.5130445095326298
159,0.7994554904673701
160,0.5130445095326298
161,0.7994554904673701
162,0.5130445095326298
163,0.7994554904673701
164,0.5130445095326298
165,0.7994554904673701
166,0.5130445095326298
167,0.7994554904673701
168,0.5130445095326298
169,0.7994554904673701
170,0.5130445095326298
171,0.7994554904673701
172,0.5130445095326298
173,0.7994554904673701
174,0.5130445095326298
175,0.7994554904673701
176,0.5130445095326298
177,0.7994554904673701
178,0.5130445095326298
179,0.7994554904673701
180,0.5130445095326298
181,0.7994554904673701
182,0.5130445095326298
183,0.7994554904673701
184,0.5130445095326298
185,0.7994554904673701
186,0.5130445095326298
187,0.7994554904673701
188,0.5130445095326298
189,0.7994554904673701
190,0.5130445095326298
191,0.7994554904673701
192,0.5130445095326298
193,0.7994554904673701
194,0.5130445095326298
195,0.7994554904673701
196,0.5130445095326298
197,0.7994554904673701
198,0.5130445095326298
199,0.7994554904673701
